# TEST CONFIGURATION BEGIN
# FileStream(filename='export_dataframe_0v4.csv', target_idx=-1, n_targets=1, cat_features=[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44])
# [HT] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=[0, 1], remove_poor_atts=False, split_confidence=1e-10, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# [HAT] HoeffdingAdaptiveTreeClassifier(binary_split=False, bootstrap_sampling=True, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=[0, 1], remove_poor_atts=False, split_confidence=1e-10, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=10000, data_points_for_classification=False, max_samples=1000000, max_time=1000, metrics=['accuracy', 'running_time', 'model_size'], n_wait=200, output_file='summary_hat.txt', pretrain_size=10000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HAT],current_acc_[HAT],training_time_[HT],testing_time_[HT],total_running_time_[HT],training_time_[HAT],testing_time_[HAT],total_running_time_[HAT],model_size_[HT],model_size_[HAT]
10000,0.802100,0.780000,0.800900,0.775000,10.002535,1.138041,11.140576,15.044637,1.241681,16.286318,452948.204102,470687.971680
20000,0.842350,0.855000,0.841850,0.855000,14.517848,2.066264,16.584112,22.569287,2.388233,24.957519,518021.219727,537649.846680
30000,0.847667,0.870000,0.847500,0.870000,18.863389,2.845527,21.708916,30.560789,3.238357,33.799145,605441.536133,57473.081055
40000,0.844425,0.835000,0.844375,0.825000,23.506552,3.905167,27.411719,39.917922,4.096550,44.014472,713943.145508,269390.010742
50000,0.842480,0.845000,0.841060,0.835000,27.858137,4.811678,32.669814,47.922580,5.317840,53.240420,804472.383789,423074.452148
60000,0.843367,0.890000,0.841817,0.875000,32.740942,5.720857,38.461799,55.834502,6.611074,62.445577,860479.208008,512303.346680
70000,0.840357,0.850000,0.838814,0.835000,37.311191,6.665240,43.976431,63.241176,7.772017,71.013193,920006.454102,603979.534180
80000,0.836938,0.815000,0.835425,0.815000,41.846301,7.581149,49.427450,74.285393,8.814526,83.099919,990338.180664,79969.334961
90000,0.833667,0.860000,0.831933,0.845000,46.263763,8.489809,54.753572,81.341250,9.925517,91.266767,1055832.266602,270632.311523
100000,0.831820,0.845000,0.829890,0.810000,50.822735,9.541251,60.363986,88.863590,11.378949,100.242539,1111315.590820,406480.760742
110000,0.830364,0.800000,0.828191,0.805000,55.409221,10.492937,65.902157,96.305682,12.615953,108.921635,1159362.641602,517763.237305
120000,0.829167,0.830000,0.826992,0.830000,60.116477,11.386987,71.503464,103.917883,13.883780,117.801663,1196377.610352,597496.850586
130000,0.829531,0.870000,0.827346,0.875000,64.883418,12.262120,77.145539,111.404378,15.011323,126.415700,1221063.422852,646016.561523
140000,0.831136,0.870000,0.828864,0.885000,72.136096,13.200364,85.336460,119.429762,16.245954,135.675716,1274224.450195,740633.823242
150000,0.831967,0.900000,0.829807,0.910000,77.061175,14.182438,91.243613,127.605719,17.349177,144.954896,1337432.903320,844294.354492
160000,0.833250,0.880000,0.831106,0.875000,81.976110,15.189668,97.165778,135.344834,18.624374,153.969208,1370235.270508,902680.838867
170000,0.833706,0.790000,0.831765,0.795000,86.957229,16.140911,103.098140,143.672376,19.765053,163.437430,1402340.922852,954510.729492
180000,0.833028,0.815000,0.831189,0.805000,91.837708,17.068670,108.906378,151.895802,20.847776,172.743578,1445149.055664,1021099.413086
190000,0.832053,0.750000,0.830379,0.755000,96.915905,18.007857,114.923762,160.031771,21.919094,181.950865,1487323.477539,148685.041992
200000,0.831430,0.840000,0.829585,0.825000,101.778495,18.941625,120.720120,169.878955,23.066660,192.945616,1525387.059570,312899.307617
210000,0.831557,0.835000,0.829543,0.840000,107.059975,19.866510,126.926485,177.480044,24.300382,201.780425,1561543.200195,436820.858398
220000,0.831473,0.810000,0.829391,0.820000,111.867338,20.749821,132.617159,184.963441,25.499333,210.462774,1589770.922852,530463.959961
230000,0.831591,0.850000,0.829430,0.840000,116.801419,21.523426,138.324845,192.658622,26.735091,219.393713,1605594.336914,582109.819336
