# TEST CONFIGURATION BEGIN
# FileStream(filename='export_dataframe_0v4.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] HoeffdingTree(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=1000000, max_time=1000, metrics=['accuracy', 'running_time', 'model_size'], n_wait=200, output_file='summary_ht.txt', pretrain_size=10000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
10000,0.500000,0.500000,4.291943,0.000410,4.292353,356.125000
10010,0.700000,0.700000,4.295132,0.000719,4.295852,356.125000
10020,0.666667,0.666667,4.298294,0.001205,4.299499,356.125000
10030,0.725000,0.725000,4.301461,0.001494,4.302955,356.125000
10040,0.780000,0.780000,4.304611,0.001967,4.306578,356.125000
10050,0.783333,0.783333,4.307732,0.002256,4.309988,356.125000
10060,0.800000,0.800000,4.310773,0.002637,4.313410,356.125000
10070,0.825000,0.825000,4.313933,0.002920,4.316854,356.156250
10080,0.833333,0.833333,4.338798,0.003402,4.342200,356.187500
10090,0.820000,0.820000,4.342000,0.003697,4.345697,356.187500
10100,0.809091,0.809091,4.345165,0.003995,4.349160,356.187500
10110,0.816667,0.816667,4.348330,0.004282,4.352612,356.187500
10120,0.830769,0.830769,4.351805,0.004632,4.356437,356.187500
10130,0.842857,0.842857,4.354955,0.004935,4.359890,356.187500
10140,0.833333,0.833333,4.358119,0.005225,4.363344,356.187500
10150,0.831250,0.831250,4.361348,0.005518,4.366866,356.187500
10160,0.829412,0.829412,4.364520,0.005802,4.370321,356.187500
10170,0.833333,0.833333,4.367676,0.006084,4.373760,356.187500
10180,0.826316,0.826316,4.370842,0.006370,4.377212,356.187500
10190,0.830000,0.830000,4.373995,0.006654,4.380650,356.187500
10200,0.823810,0.840000,4.377211,0.007056,4.384267,356.187500
10210,0.822727,0.835000,4.380448,0.007680,4.388128,356.187500
10220,0.817391,0.840000,4.385290,0.007995,4.393285,356.187500
10230,0.816667,0.835000,4.388719,0.008375,4.397094,356.187500
10240,0.816000,0.825000,4.392119,0.008668,4.400787,356.187500
10250,0.819231,0.830000,4.398165,0.008958,4.407123,356.187500
10260,0.822222,0.830000,4.401554,0.009546,4.411100,356.218750
10270,0.821429,0.820000,4.404711,0.009875,4.414586,356.218750
10280,0.813793,0.805000,4.407931,0.010161,4.418092,356.218750
10290,0.820000,0.820000,4.411145,0.010446,4.421591,356.218750
10300,0.816129,0.820000,4.414330,0.010726,4.425056,356.218750
10310,0.818750,0.820000,4.417550,0.011014,4.428564,356.218750
10320,0.809091,0.795000,4.420726,0.011337,4.432063,356.218750
10330,0.808824,0.785000,4.423942,0.011635,4.435577,356.218750
10340,0.811429,0.795000,4.445030,0.011925,4.456954,356.250000
10350,0.816667,0.805000,4.448214,0.012208,4.460422,356.250000
10360,0.816216,0.805000,4.451468,0.012699,4.464166,356.250000
10370,0.821053,0.810000,4.454616,0.012984,4.467600,356.250000
10380,0.825641,0.825000,4.457789,0.013317,4.471106,356.250000
10390,0.825000,0.820000,4.461254,0.013612,4.474867,356.250000
10400,0.826829,0.830000,4.464503,0.013912,4.478415,356.250000
10410,0.828571,0.835000,4.467669,0.014198,4.481867,356.250000
10420,0.825581,0.835000,4.470816,0.014480,4.485296,356.250000
10430,0.818182,0.820000,4.474015,0.014969,4.488984,356.312500
10440,0.817778,0.820000,4.477169,0.015259,4.492428,356.312500
10450,0.817391,0.815000,4.481279,0.015680,4.496959,356.312500
10460,0.810638,0.795000,4.484463,0.015973,4.500436,356.312500
10470,0.810417,0.795000,4.487639,0.016261,4.503900,356.312500
10480,0.814286,0.815000,4.490788,0.016544,4.507332,356.312500
10490,0.812000,0.800000,4.494000,0.016835,4.510835,356.312500
10500,0.805882,0.790000,4.497215,0.017130,4.514345,356.312500
10510,0.803846,0.780000,4.500428,0.017419,4.517848,356.312500
10590,0.800000,0.750000,4.544570,0.019786,4.564356,356.343750
10790,0.806250,0.825000,4.608491,0.026549,4.635040,356.437500
10990,0.805000,0.800000,4.709812,0.032729,4.742541,356.500000
11190,0.805833,0.810000,4.792377,0.038455,4.830832,366.648438
11390,0.801429,0.775000,4.883034,0.044981,4.928014,366.648438
11590,0.795625,0.755000,4.968013,0.050945,5.018958,366.742188
11790,0.794444,0.785000,5.038558,0.057665,5.096223,366.742188
11990,0.801000,0.860000,5.142224,0.064245,5.206469,352.664062
12190,0.798636,0.775000,5.223656,0.070311,5.293968,367.906250
12390,0.800833,0.825000,5.284874,0.076584,5.361458,368.562500
12590,0.800000,0.790000,5.365197,0.083679,5.448876,368.875000
12790,0.797857,0.770000,5.443734,0.089996,5.533730,370.117188
12990,0.799000,0.815000,5.535390,0.096627,5.632018,370.398438
13190,0.799687,0.810000,5.614836,0.103214,5.718050,437.000000
13390,0.801176,0.825000,5.677945,0.109693,5.787638,437.093750
13590,0.799444,0.770000,5.772673,0.119016,5.891689,441.687500
13790,0.800263,0.815000,5.862503,0.127080,5.989583,493.976562
13990,0.799500,0.785000,5.963833,0.134347,6.098179,494.039062
14190,0.799524,0.800000,6.046134,0.140875,6.187009,498.601562
14390,0.800227,0.815000,6.109736,0.147782,6.257518,513.257812
14590,0.801304,0.825000,6.192771,0.154723,6.347494,513.351562
14790,0.801042,0.795000,6.272899,0.161952,6.434851,513.382812
14990,0.802000,0.825000,6.367363,0.169061,6.536424,513.414062
15190,0.801538,0.790000,6.432982,0.175881,6.608863,513.445312
15390,0.801667,0.805000,6.519515,0.182891,6.702405,513.570312
15590,0.800714,0.775000,6.607397,0.190663,6.798060,513.601562
15790,0.801379,0.820000,6.688604,0.197725,6.886329,513.632812
15990,0.802000,0.820000,6.783819,0.204192,6.988011,513.664062
16190,0.802419,0.815000,6.851360,0.212160,7.063520,513.789062
16390,0.802813,0.815000,6.932438,0.218979,7.151416,513.882812
16590,0.802576,0.795000,7.015533,0.226691,7.242224,519.195312
16790,0.802206,0.790000,7.097180,0.234862,7.332042,571.695312
16990,0.802000,0.795000,7.177193,0.242703,7.419896,623.867188
17190,0.800694,0.755000,7.257867,0.251082,7.508949,681.765625
17390,0.799865,0.770000,7.341807,0.258658,7.600465,681.953125
17590,0.800132,0.810000,7.421271,0.265613,7.686885,682.015625
17790,0.800256,0.805000,7.499999,0.272716,7.772716,682.109375
17990,0.800875,0.825000,7.586355,0.281207,7.867563,682.140625
18190,0.801341,0.820000,7.670316,0.288289,7.958605,682.140625
18390,0.800238,0.755000,7.757025,0.296247,8.053272,682.171875
18590,0.800000,0.790000,7.821494,0.304454,8.125948,686.671875
18790,0.799432,0.775000,7.916999,0.312191,8.229190,686.765625
18990,0.799889,0.820000,7.997773,0.319308,8.317081,686.765625
19190,0.800217,0.815000,8.077981,0.326735,8.404716,686.828125
19390,0.800213,0.800000,8.142187,0.333942,8.476129,691.273438
19590,0.799896,0.785000,8.228744,0.342470,8.571214,701.460938
19790,0.800408,0.825000,8.326566,0.350211,8.676777,687.414062
19990,0.801200,0.840000,8.404223,0.357618,8.761841,744.148438
20190,0.800294,0.755000,8.483017,0.365052,8.848070,754.398438
20390,0.801154,0.845000,8.543965,0.372075,8.916040,754.460938
20590,0.801415,0.815000,8.624391,0.380657,9.005048,754.617188
20790,0.801111,0.785000,8.713083,0.388954,9.102037,764.742188
20990,0.799636,0.720000,8.792223,0.397602,9.189825,821.835938
21190,0.800357,0.840000,8.852371,0.405797,9.258168,831.898438
21390,0.800614,0.815000,8.929087,0.414154,9.343241,832.554688
21590,0.799828,0.755000,9.008151,0.422591,9.430742,832.773438
21790,0.800000,0.810000,9.091470,0.430168,9.521638,828.726562
21990,0.801000,0.860000,9.168953,0.438777,9.607729,904.960938
22190,0.801393,0.825000,9.247635,0.446845,9.694480,905.273438
22390,0.801774,0.825000,9.325032,0.455541,9.780573,909.875000
22590,0.801984,0.815000,9.387732,0.464086,9.851818,920.148438
22790,0.801953,0.800000,9.465212,0.473403,9.938615,924.812500
22990,0.802077,0.810000,9.558070,0.483627,10.041697,925.093750
23190,0.801364,0.755000,9.622114,0.493958,10.116071,925.312500
23390,0.801642,0.820000,9.702408,0.505323,10.207730,925.593750
23590,0.801397,0.785000,9.780258,0.514947,10.295204,925.718750
23790,0.801377,0.800000,9.847322,0.524747,10.372069,925.718750
23990,0.801857,0.835000,9.945100,0.535734,10.480834,925.781250
24190,0.801127,0.750000,10.025230,0.545009,10.570239,935.960938
24390,0.801736,0.845000,10.104137,0.555620,10.659757,936.023438
24590,0.802260,0.840000,10.171165,0.565734,10.736899,936.148438
24790,0.801824,0.770000,10.251894,0.575896,10.827789,936.210938
24990,0.802133,0.825000,10.346010,0.584871,10.930881,936.304688
25190,0.802105,0.800000,10.409808,0.593969,11.003777,936.398438
25390,0.802792,0.855000,10.489300,0.602596,11.091896,936.460938
25590,0.802244,0.760000,10.569291,0.611368,11.180659,936.554688
25790,0.802785,0.845000,10.633156,0.618786,11.251942,936.648438
25990,0.801937,0.735000,10.724113,0.635593,11.359706,1008.867188
26190,0.802222,0.825000,10.813172,0.647270,11.460443,1009.335938
26390,0.801951,0.780000,10.894002,0.657959,11.551962,1009.648438
26590,0.801988,0.805000,10.969200,0.668669,11.637869,1009.742188
26790,0.802321,0.830000,11.060202,0.679747,11.739948,1009.898438
26990,0.802706,0.835000,11.137091,0.688093,11.825184,1009.992188
27190,0.803140,0.840000,11.229871,0.697924,11.927795,1047.929688
27390,0.802644,0.760000,11.297648,0.707603,12.005251,1067.742188
27590,0.802784,0.815000,11.373844,0.716630,12.090474,1068.023438
27790,0.802584,0.785000,11.452855,0.727791,12.180646,1068.117188
27990,0.802556,0.800000,11.515021,0.737336,12.252357,1068.273438
28190,0.802143,0.765000,11.606670,0.745912,12.352582,1068.335938
28390,0.802391,0.825000,11.677637,0.755276,12.432912,1072.812500
28590,0.802366,0.800000,11.755814,0.765983,12.521797,1083.023438
28790,0.802340,0.800000,11.818851,0.775270,12.594122,1083.148438
28990,0.802368,0.805000,11.902442,0.786369,12.688811,1083.242188
29190,0.802552,0.820000,11.976038,0.796583,12.772621,1083.367188
29390,0.802680,0.815000,12.057979,0.807046,12.865025,1083.398438
29590,0.802092,0.745000,12.138033,0.818551,12.956584,1088.796875
29790,0.802273,0.820000,12.208754,0.827899,13.036653,1151.234375
29990,0.802150,0.790000,12.284524,0.836511,13.121034,1155.742188
30190,0.802426,0.830000,12.347613,0.847285,13.194897,1155.867188
30390,0.802892,0.850000,12.434375,0.856421,13.290796,1160.468750
30590,0.802816,0.795000,12.512463,0.866202,13.378665,1160.656250
30790,0.803029,0.825000,12.575462,0.875355,13.450817,1160.750000
30990,0.803619,0.865000,12.639205,0.885776,13.524981,1160.812500
31190,0.804198,0.865000,12.739017,0.895252,13.634269,1160.812500
31390,0.804159,0.800000,12.807346,0.906873,13.714219,1160.906250
31590,0.804213,0.810000,12.885396,0.917809,13.803206,1160.968750
31790,0.804404,0.825000,12.960842,0.927955,13.888797,1161.031250
31990,0.804864,0.855000,13.047303,0.938607,13.985909,1146.859375
32190,0.804820,0.800000,13.121617,0.947160,14.068776,1147.171875
32390,0.804821,0.805000,13.186321,0.957602,14.143923,1157.414062
