# TEST CONFIGURATION BEGIN
# FileStream(filename='balanced.csv', target_idx=-1, n_targets=1, cat_features=[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44])
# [HT] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=[0, 1], remove_poor_atts=False, split_confidence=1e-10, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# [HAT] HoeffdingAdaptiveTreeClassifier(binary_split=False, bootstrap_sampling=True, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=[0, 1], remove_poor_atts=False, split_confidence=1e-10, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=100, data_points_for_classification=False, max_samples=1000000, max_time=10000, metrics=['accuracy', 'true_vs_predicted'], n_wait=200, output_file='summary_ht_balanced.txt', pretrain_size=10000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HAT],current_acc_[HAT],true_value,predicted_value_[HT],predicted_value_[HAT]
10000,0.650000,0.650000,0.690000,0.690000,0.000000,1.000000,0.000000
10100,0.675000,0.675000,0.705000,0.705000,1.000000,1.000000,0.000000
10200,0.666667,0.675000,0.696667,0.700000,1.000000,1.000000,0.000000
10300,0.667500,0.660000,0.682500,0.660000,1.000000,1.000000,1.000000
10400,0.666000,0.665000,0.676000,0.645000,1.000000,1.000000,1.000000
10500,0.658333,0.640000,0.676667,0.665000,1.000000,0.000000,0.000000
10600,0.650000,0.610000,0.668571,0.650000,0.000000,0.000000,0.000000
10700,0.650000,0.625000,0.672500,0.660000,1.000000,1.000000,0.000000
10800,0.648889,0.645000,0.676667,0.705000,1.000000,1.000000,0.000000
10900,0.649000,0.645000,0.680000,0.710000,1.000000,0.000000,0.000000
11000,0.651818,0.665000,0.678182,0.685000,0.000000,0.000000,0.000000
11100,0.655833,0.690000,0.678333,0.670000,1.000000,0.000000,0.000000
11200,0.660000,0.705000,0.679231,0.685000,0.000000,1.000000,0.000000
11300,0.662143,0.700000,0.677857,0.675000,0.000000,1.000000,0.000000
11400,0.660667,0.665000,0.682000,0.700000,1.000000,0.000000,0.000000
11500,0.661875,0.660000,0.681875,0.710000,1.000000,0.000000,0.000000
11600,0.656471,0.625000,0.683529,0.695000,1.000000,0.000000,0.000000
11700,0.663333,0.675000,0.687778,0.735000,1.000000,1.000000,1.000000
11800,0.656842,0.660000,0.683158,0.680000,0.000000,0.000000,0.000000
11900,0.661500,0.645000,0.687000,0.680000,0.000000,0.000000,0.000000
12000,0.660952,0.700000,0.686667,0.720000,1.000000,1.000000,0.000000
12100,0.660455,0.650000,0.682727,0.640000,0.000000,1.000000,0.000000
12200,0.660870,0.660000,0.683478,0.650000,1.000000,1.000000,1.000000
12300,0.659167,0.645000,0.686250,0.725000,1.000000,0.000000,0.000000
12400,0.657200,0.615000,0.689200,0.755000,1.000000,0.000000,0.000000
12500,0.656154,0.620000,0.688846,0.720000,0.000000,0.000000,0.000000
12600,0.658519,0.675000,0.690370,0.705000,0.000000,0.000000,0.000000
12700,0.657500,0.675000,0.692857,0.745000,0.000000,0.000000,0.000000
12800,0.660000,0.680000,0.695862,0.770000,0.000000,0.000000,0.000000
12900,0.658667,0.675000,0.696667,0.750000,1.000000,1.000000,1.000000
13000,0.658387,0.635000,0.697742,0.725000,1.000000,1.000000,0.000000
13100,0.657500,0.640000,0.698125,0.720000,0.000000,0.000000,0.000000
13200,0.658485,0.660000,0.700909,0.750000,0.000000,1.000000,0.000000
13300,0.657353,0.655000,0.700588,0.740000,0.000000,0.000000,0.000000
13400,0.657429,0.640000,0.698571,0.660000,0.000000,0.000000,0.000000
13500,0.658611,0.680000,0.698889,0.670000,1.000000,1.000000,1.000000
13600,0.657297,0.655000,0.697838,0.685000,0.000000,0.000000,0.000000
13700,0.657632,0.640000,0.699211,0.705000,0.000000,0.000000,0.000000
13800,0.657692,0.665000,0.700513,0.750000,0.000000,0.000000,0.000000
13900,0.659250,0.690000,0.700000,0.715000,1.000000,1.000000,0.000000
14000,0.661220,0.730000,0.702439,0.740000,0.000000,1.000000,0.000000
14100,0.661905,0.715000,0.703333,0.770000,1.000000,1.000000,1.000000
14200,0.662791,0.695000,0.705581,0.770000,1.000000,1.000000,1.000000
14300,0.662273,0.670000,0.704545,0.730000,1.000000,1.000000,0.000000
14400,0.661778,0.640000,0.704444,0.680000,0.000000,0.000000,0.000000
14500,0.663261,0.685000,0.705870,0.735000,0.000000,0.000000,0.000000
14600,0.661915,0.665000,0.705745,0.735000,1.000000,1.000000,0.000000
14700,0.662292,0.640000,0.706458,0.720000,1.000000,1.000000,0.000000
14800,0.662449,0.675000,0.706531,0.725000,1.000000,1.000000,1.000000
14900,0.662800,0.675000,0.706600,0.710000,1.000000,1.000000,1.000000
15000,0.662941,0.675000,0.707059,0.720000,1.000000,1.000000,1.000000
15100,0.662692,0.660000,0.708077,0.745000,1.000000,1.000000,1.000000
15200,0.662264,0.645000,0.707170,0.710000,0.000000,0.000000,0.000000
15300,0.662222,0.650000,0.708333,0.715000,0.000000,1.000000,0.000000
15400,0.664000,0.710000,0.708727,0.750000,0.000000,0.000000,0.000000
15500,0.664107,0.715000,0.708750,0.720000,1.000000,1.000000,1.000000
15600,0.665614,0.710000,0.709123,0.720000,1.000000,1.000000,1.000000
15700,0.665690,0.710000,0.709828,0.740000,0.000000,1.000000,0.000000
15800,0.665763,0.670000,0.708983,0.705000,1.000000,0.000000,0.000000
15900,0.666833,0.700000,0.709333,0.695000,1.000000,1.000000,1.000000
16000,0.665902,0.670000,0.708197,0.685000,1.000000,0.000000,0.000000
16100,0.666452,0.655000,0.708548,0.685000,1.000000,1.000000,1.000000
16200,0.667778,0.725000,0.709365,0.745000,1.000000,1.000000,0.000000
16300,0.667500,0.700000,0.709531,0.740000,0.000000,0.000000,0.000000
16400,0.667692,0.665000,0.708923,0.695000,1.000000,0.000000,0.000000
16500,0.668636,0.705000,0.709697,0.715000,1.000000,0.000000,0.000000
16600,0.668806,0.705000,0.710000,0.745000,1.000000,0.000000,0.000000
16700,0.668676,0.670000,0.710588,0.740000,1.000000,0.000000,0.000000
16800,0.669420,0.690000,0.709275,0.685000,0.000000,0.000000,0.000000
16900,0.669571,0.700000,0.709429,0.670000,1.000000,1.000000,1.000000
17000,0.670423,0.705000,0.709437,0.715000,1.000000,1.000000,1.000000
17100,0.671250,0.730000,0.709444,0.710000,0.000000,0.000000,0.000000
17200,0.671781,0.720000,0.710411,0.745000,0.000000,0.000000,0.000000
17300,0.672568,0.720000,0.710811,0.760000,0.000000,0.000000,0.000000
17400,0.673333,0.730000,0.711600,0.755000,1.000000,0.000000,0.000000
17500,0.674211,0.735000,0.712895,0.790000,1.000000,1.000000,1.000000
17600,0.674545,0.720000,0.713636,0.790000,0.000000,0.000000,0.000000
17700,0.674744,0.695000,0.713077,0.720000,0.000000,1.000000,0.000000
17800,0.674937,0.690000,0.713291,0.700000,1.000000,0.000000,0.000000
17900,0.674750,0.675000,0.713500,0.730000,1.000000,1.000000,1.000000
18000,0.675185,0.685000,0.713704,0.730000,0.000000,0.000000,0.000000
18100,0.675000,0.685000,0.713780,0.725000,0.000000,0.000000,0.000000
18200,0.675542,0.690000,0.714096,0.730000,1.000000,0.000000,0.000000
18300,0.675238,0.685000,0.713214,0.690000,0.000000,0.000000,0.000000
18400,0.675882,0.690000,0.714235,0.720000,0.000000,0.000000,0.000000
18500,0.676279,0.720000,0.714535,0.770000,0.000000,1.000000,0.000000
18600,0.676782,0.715000,0.714253,0.715000,0.000000,1.000000,0.000000
18700,0.676932,0.705000,0.714205,0.700000,0.000000,0.000000,0.000000
18800,0.677191,0.695000,0.714157,0.710000,1.000000,0.000000,0.000000
18900,0.677222,0.690000,0.714000,0.705000,0.000000,0.000000,0.000000
19000,0.677033,0.670000,0.713736,0.695000,1.000000,1.000000,1.000000
19100,0.677283,0.680000,0.714565,0.740000,0.000000,0.000000,0.000000
19200,0.676774,0.665000,0.714194,0.735000,0.000000,0.000000,0.000000
19300,0.677021,0.665000,0.713404,0.660000,1.000000,1.000000,1.000000
19400,0.677368,0.705000,0.713789,0.695000,1.000000,1.000000,1.000000
19500,0.677708,0.710000,0.713958,0.740000,0.000000,0.000000,0.000000
19600,0.677113,0.665000,0.713299,0.690000,0.000000,0.000000,0.000000
19700,0.676429,0.615000,0.712449,0.640000,1.000000,0.000000,0.000000
19800,0.676869,0.665000,0.712727,0.685000,0.000000,0.000000,0.000000
19900,0.677000,0.705000,0.712200,0.700000,0.000000,1.000000,0.000000
20100,0.678431,0.750000,0.714020,0.805000,0.000000,0.000000,0.000000
20300,0.679038,0.710000,0.715288,0.780000,0.000000,0.000000,0.000000
20500,0.679811,0.720000,0.715943,0.750000,0.000000,0.000000,0.000000
20700,0.680648,0.725000,0.716944,0.770000,1.000000,1.000000,1.000000
20900,0.681364,0.720000,0.717455,0.745000,1.000000,1.000000,1.000000
21100,0.681964,0.715000,0.717768,0.735000,1.000000,1.000000,0.000000
21300,0.682895,0.735000,0.718421,0.755000,1.000000,1.000000,0.000000
