# TEST CONFIGURATION BEGIN
# FileStream(filename='balanced.csv', target_idx=-1, n_targets=1, cat_features=[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44])
# [HT] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=[0, 1], remove_poor_atts=False, split_confidence=1e-10, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# [HAT] HoeffdingAdaptiveTreeClassifier(binary_split=False, bootstrap_sampling=True, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=[0, 1], remove_poor_atts=False, split_confidence=1e-10, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=100, data_points_for_classification=False, max_samples=1000000, max_time=1000, metrics=['accuracy', 'true_vs_predicted'], n_wait=200, output_file='summary_ht_balanced_partialfit.txt', pretrain_size=10000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HAT],current_acc_[HAT],true_value,predicted_value_[HT],predicted_value_[HAT]
10000,0.960000,0.960000,0.790000,0.790000,1.000000,1.000000,1.000000
10100,0.965000,0.965000,0.800000,0.800000,0.000000,0.000000,0.000000
10200,0.963333,0.965000,0.786667,0.785000,1.000000,1.000000,0.000000
10300,0.970000,0.975000,0.785000,0.770000,0.000000,0.000000,0.000000
10400,0.974000,0.990000,0.776000,0.760000,1.000000,1.000000,1.000000
10500,0.973333,0.980000,0.770000,0.740000,0.000000,0.000000,0.000000
10600,0.971429,0.965000,0.774286,0.770000,0.000000,1.000000,0.000000
10700,0.971250,0.965000,0.771250,0.775000,1.000000,1.000000,1.000000
10800,0.970000,0.965000,0.768889,0.750000,1.000000,1.000000,1.000000
10900,0.970000,0.965000,0.766000,0.745000,1.000000,1.000000,1.000000
11000,0.968182,0.960000,0.759091,0.715000,0.000000,0.000000,0.000000
11100,0.970833,0.975000,0.760000,0.730000,1.000000,1.000000,0.000000
11200,0.967692,0.965000,0.762308,0.780000,1.000000,1.000000,0.000000
11300,0.966429,0.940000,0.759286,0.755000,1.000000,1.000000,0.000000
11400,0.965333,0.950000,0.758667,0.735000,0.000000,0.000000,0.000000
11500,0.966250,0.965000,0.752500,0.705000,1.000000,1.000000,1.000000
11600,0.965882,0.970000,0.753529,0.715000,0.000000,0.000000,0.000000
11700,0.966667,0.970000,0.752222,0.750000,1.000000,1.000000,0.000000
11800,0.965789,0.965000,0.750526,0.725000,1.000000,1.000000,1.000000
11900,0.966500,0.965000,0.749500,0.725000,0.000000,0.000000,0.000000
12000,0.967143,0.980000,0.749048,0.735000,1.000000,1.000000,1.000000
12100,0.967273,0.975000,0.749091,0.745000,0.000000,0.000000,0.000000
12200,0.965652,0.950000,0.745652,0.710000,0.000000,0.000000,0.000000
12300,0.966667,0.960000,0.746250,0.715000,1.000000,1.000000,0.000000
12400,0.966800,0.980000,0.747600,0.770000,0.000000,0.000000,0.000000
12500,0.966538,0.965000,0.746923,0.755000,0.000000,0.000000,0.000000
12600,0.964444,0.935000,0.745185,0.715000,0.000000,0.000000,0.000000
12700,0.964286,0.935000,0.742857,0.690000,1.000000,1.000000,0.000000
12800,0.965517,0.980000,0.742069,0.700000,1.000000,1.000000,1.000000
12900,0.964667,0.970000,0.741000,0.715000,0.000000,0.000000,0.000000
13000,0.964194,0.945000,0.742903,0.755000,1.000000,1.000000,1.000000
13100,0.963750,0.950000,0.744062,0.790000,0.000000,0.000000,0.000000
13200,0.964545,0.970000,0.745152,0.780000,1.000000,1.000000,1.000000
13300,0.965000,0.985000,0.745588,0.770000,1.000000,1.000000,1.000000
13400,0.966000,0.990000,0.745714,0.755000,1.000000,1.000000,0.000000
13500,0.965556,0.975000,0.746111,0.755000,1.000000,1.000000,0.000000
13600,0.965946,0.965000,0.745946,0.750000,0.000000,0.000000,0.000000
13700,0.966053,0.975000,0.745000,0.725000,0.000000,0.000000,0.000000
13800,0.965641,0.960000,0.744103,0.710000,1.000000,1.000000,1.000000
13900,0.966000,0.965000,0.743500,0.715000,1.000000,1.000000,0.000000
14000,0.966341,0.980000,0.743659,0.735000,1.000000,1.000000,1.000000
14100,0.965952,0.965000,0.744524,0.765000,0.000000,0.000000,0.000000
14200,0.966279,0.965000,0.743488,0.740000,0.000000,0.000000,0.000000
14300,0.966136,0.970000,0.742955,0.710000,0.000000,0.000000,0.000000
