# TEST CONFIGURATION BEGIN
# FileStream(filename='export_dataframe_0v4.csv', target_idx=-1, n_targets=1, cat_features=[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44])
# [HT] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=[0, 1], remove_poor_atts=False, split_confidence=1e-10, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# [HAT] HoeffdingAdaptiveTreeClassifier(binary_split=False, bootstrap_sampling=True, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=[0, 1], remove_poor_atts=False, split_confidence=1e-10, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=100, data_points_for_classification=False, max_samples=1000000, max_time=1000, metrics=['accuracy', 'true_vs_predicted'], n_wait=200, output_file='summary_ht_v5.txt', pretrain_size=10000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HAT],current_acc_[HAT],true_value,predicted_value_[HT],predicted_value_[HAT]
10000,0.800000,0.800000,0.810000,0.810000,0.000000,1.000000,1.000000
10100,0.820000,0.820000,0.830000,0.830000,0.000000,0.000000,0.000000
10200,0.826667,0.840000,0.833333,0.845000,0.000000,0.000000,0.000000
10300,0.830000,0.840000,0.835000,0.840000,1.000000,0.000000,0.000000
10400,0.816000,0.800000,0.820000,0.800000,0.000000,0.000000,0.000000
10500,0.800000,0.740000,0.803333,0.740000,0.000000,0.000000,0.000000
10600,0.804286,0.775000,0.807143,0.775000,1.000000,0.000000,0.000000
10700,0.800000,0.800000,0.801250,0.795000,0.000000,0.000000,0.000000
10800,0.800000,0.785000,0.801111,0.780000,0.000000,0.000000,0.000000
10900,0.801000,0.805000,0.802000,0.805000,0.000000,0.000000,0.000000
11000,0.802727,0.815000,0.804545,0.820000,0.000000,0.000000,0.000000
11100,0.801667,0.805000,0.804167,0.815000,0.000000,0.000000,0.000000
11200,0.800769,0.790000,0.802308,0.790000,0.000000,0.000000,0.000000
11300,0.798571,0.780000,0.799286,0.770000,0.000000,0.000000,0.000000
11400,0.795333,0.760000,0.796667,0.760000,0.000000,0.000000,0.000000
11500,0.794375,0.765000,0.794375,0.760000,0.000000,0.000000,0.000000
11600,0.793529,0.780000,0.792941,0.765000,1.000000,0.000000,0.000000
11700,0.790000,0.755000,0.789444,0.750000,0.000000,0.000000,0.000000
11800,0.795789,0.815000,0.795263,0.815000,0.000000,0.000000,0.000000
11900,0.796000,0.850000,0.795500,0.850000,1.000000,0.000000,0.000000
12000,0.795238,0.790000,0.794762,0.790000,0.000000,0.000000,0.000000
12100,0.794545,0.780000,0.793636,0.775000,0.000000,0.000000,0.000000
12200,0.795217,0.795000,0.794348,0.790000,0.000000,0.000000,0.000000
12300,0.795000,0.800000,0.794167,0.800000,0.000000,0.000000,0.000000
12400,0.793200,0.770000,0.792400,0.770000,0.000000,0.000000,0.000000
12500,0.792692,0.765000,0.792692,0.775000,0.000000,0.000000,0.000000
12600,0.790741,0.760000,0.791111,0.775000,0.000000,0.000000,0.000000
12700,0.790714,0.765000,0.790714,0.765000,0.000000,0.000000,0.000000
12800,0.791034,0.795000,0.791034,0.790000,0.000000,0.000000,0.000000
12900,0.791667,0.805000,0.791667,0.805000,0.000000,0.000000,0.000000
13000,0.791290,0.795000,0.791290,0.795000,0.000000,0.000000,0.000000
13100,0.793125,0.815000,0.793125,0.815000,0.000000,0.000000,0.000000
13200,0.795152,0.855000,0.795152,0.855000,0.000000,0.000000,0.000000
13300,0.795294,0.830000,0.795294,0.830000,0.000000,0.000000,0.000000
13400,0.793714,0.770000,0.794000,0.775000,0.000000,0.000000,0.000000
13500,0.793333,0.760000,0.794722,0.785000,0.000000,0.000000,0.000000
13600,0.794865,0.815000,0.796216,0.835000,0.000000,0.000000,0.000000
13700,0.793947,0.805000,0.795263,0.805000,0.000000,0.000000,0.000000
13800,0.793333,0.765000,0.794615,0.765000,0.000000,0.000000,0.000000
