# TEST CONFIGURATION BEGIN
# FileStream(filename='export_dataframe_0v4.csv', target_idx=-1, n_targets=1, cat_features=[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44])
# [HT] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=[0, 1], remove_poor_atts=False, split_confidence=1e-10, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# [HAT] HoeffdingAdaptiveTreeClassifier(binary_split=False, bootstrap_sampling=True, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=[0, 1], remove_poor_atts=False, split_confidence=1e-10, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=100, data_points_for_classification=False, max_samples=1000000, max_time=1000, metrics=['accuracy', 'true_vs_predicted'], n_wait=200, output_file='summary_ht_v5_partialfit.txt', pretrain_size=10000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HAT],current_acc_[HAT],true_value,predicted_value_[HT],predicted_value_[HAT]
10000,0.750000,0.750000,0.750000,0.750000,0.000000,0.000000,0.000000
10100,0.765000,0.765000,0.765000,0.765000,0.000000,0.000000,0.000000
10200,0.796667,0.820000,0.800000,0.825000,0.000000,0.000000,0.000000
10300,0.800000,0.835000,0.802500,0.840000,0.000000,0.000000,0.000000
10400,0.798000,0.800000,0.800000,0.800000,0.000000,0.000000,0.000000
10500,0.800000,0.800000,0.801667,0.800000,0.000000,0.000000,0.000000
10600,0.792857,0.780000,0.794286,0.780000,0.000000,0.000000,0.000000
10700,0.792500,0.770000,0.793750,0.770000,0.000000,0.000000,0.000000
10800,0.792222,0.790000,0.793333,0.790000,0.000000,0.000000,0.000000
10900,0.785000,0.755000,0.786000,0.755000,0.000000,0.000000,0.000000
11000,0.788182,0.770000,0.789091,0.770000,0.000000,1.000000,0.000000
11100,0.792500,0.830000,0.792500,0.825000,0.000000,0.000000,0.000000
11200,0.796923,0.845000,0.796923,0.840000,1.000000,0.000000,0.000000
11300,0.795714,0.815000,0.796429,0.820000,0.000000,0.000000,0.000000
11400,0.793333,0.770000,0.792667,0.765000,1.000000,0.000000,0.000000
11500,0.791875,0.765000,0.791250,0.755000,1.000000,0.000000,0.000000
11600,0.790588,0.770000,0.789412,0.765000,0.000000,0.000000,0.000000
11700,0.791111,0.785000,0.789444,0.775000,0.000000,0.000000,0.000000
11800,0.795263,0.835000,0.793684,0.830000,0.000000,0.000000,0.000000
11900,0.800000,0.880000,0.797500,0.870000,0.000000,0.000000,0.000000
12000,0.801429,0.860000,0.798571,0.845000,1.000000,0.000000,0.000000
12100,0.800909,0.810000,0.797273,0.795000,0.000000,0.000000,0.000000
12200,0.803913,0.830000,0.800000,0.815000,0.000000,0.000000,0.000000
12300,0.803750,0.835000,0.800000,0.830000,0.000000,0.000000,0.000000
12400,0.803200,0.795000,0.800400,0.805000,1.000000,0.000000,0.000000
12500,0.803462,0.800000,0.800769,0.810000,0.000000,0.000000,0.000000
12600,0.802593,0.795000,0.800370,0.800000,0.000000,1.000000,1.000000
12700,0.803214,0.800000,0.801071,0.805000,0.000000,0.000000,0.000000
12800,0.802069,0.795000,0.800690,0.805000,0.000000,0.000000,0.000000
12900,0.802667,0.795000,0.801667,0.810000,0.000000,0.000000,0.000000
13000,0.801290,0.790000,0.800000,0.790000,0.000000,0.000000,0.000000
13100,0.799687,0.755000,0.798438,0.750000,0.000000,0.000000,0.000000
13200,0.800000,0.780000,0.798485,0.775000,0.000000,0.000000,0.000000
13300,0.801471,0.830000,0.799706,0.820000,0.000000,0.000000,0.000000
13400,0.800286,0.805000,0.798571,0.800000,0.000000,0.000000,0.000000
13500,0.801944,0.810000,0.799444,0.795000,0.000000,0.000000,0.000000
13600,0.801622,0.825000,0.798919,0.805000,0.000000,0.000000,0.000000
13700,0.801316,0.790000,0.798947,0.790000,0.000000,0.000000,0.000000
13800,0.800769,0.785000,0.798462,0.790000,0.000000,0.000000,0.000000
