size_win,precision mean,recall mean,precision median,recallmedian,count mean,count median
10000,0.992936427850656,0.9959514170040485,0.992936427850656,0.9959514170040485,(array([0, 1], dtype=int8), array([8018, 1982])),(array([0, 1], dtype=int8), array([8026, 1974]))
10000,0.9932851239669421,0.9943123061013444,0.9932851239669421,0.9943123061013444,(array([0, 1], dtype=int8), array([8064, 1936])),(array([0, 1], dtype=int8), array([8063, 1937]))
10000,0.9920508744038156,0.9946865037194474,0.9920508744038156,0.9946865037194474,(array([0, 1], dtype=int8), array([8113, 1887])),(array([0, 1], dtype=int8), array([8124, 1876]))
39516,0.9613686534216336,0.9445147298030002,0.9613686534216336,0.9445147298030002,(array([0, 1], dtype=int8), array([34080,  5436])),(array([0, 1], dtype=int8), array([34075,  5441]))
10000,0.981417756366139,0.9800687285223367,0.981417756366139,0.9800687285223367,(array([0, 1], dtype=int8), array([8547, 1453])),(array([0, 1], dtype=int8), array([8540, 1460]))
10000,0.9911347517730497,0.9893805309734514,0.9911347517730497,0.9893805309734514,(array([0, 1], dtype=int8), array([8308, 1692])),(array([0, 1], dtype=int8), array([8304, 1696]))
10000,0.9922135706340378,0.9911111111111112,0.9922135706340378,0.9911111111111112,(array([0, 1], dtype=int8), array([8202, 1798])),(array([0, 1], dtype=int8), array([8206, 1794]))
10000,0.9967776584317938,0.9898666666666667,0.9967776584317938,0.9898666666666667,(array([0, 1], dtype=int8), array([8138, 1862])),(array([0, 1], dtype=int8), array([8133, 1867]))
10000,0.9937357630979499,0.9965733866362079,0.9937357630979499,0.9965733866362079,(array([0, 1], dtype=int8), array([8244, 1756])),(array([0, 1], dtype=int8), array([8247, 1753]))
10000,0.9943278502552467,0.992638731596829,0.9943278502552467,0.992638731596829,(array([0, 1], dtype=int8), array([8237, 1763])),(array([0, 1], dtype=int8), array([8236, 1764]))
10000,0.9932998324958124,0.9888827126181212,0.9932998324958124,0.9888827126181212,(array([0, 1], dtype=int8), array([8209, 1791])),(array([0, 1], dtype=int8), array([8211, 1789]))
