# TEST CONFIGURATION BEGIN
# FileStream(filename='export_dataframe_0v4.csv', target_idx=-1, n_targets=1, cat_features=None)
# [HT] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=[0, 1], remove_poor_atts=False, split_confidence=1e-10, split_criterion='gini', stop_mem_management=False, tie_threshold=0.05)
# [HAT] HoeffdingAdaptiveTreeClassifier(binary_split=False, bootstrap_sampling=True, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=[0, 1], remove_poor_atts=False, split_confidence=1e-10, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1000, data_points_for_classification=False, max_samples=1000000, max_time=10000, metrics=['accuracy', 'true_vs_predicted'], n_wait=200, output_file='summary_ht_balanced.txt', pretrain_size=10000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HAT],current_acc_[HAT],true_value,predicted_value_[HT],predicted_value_[HAT]
10000,0.795000,0.800000,0.802000,0.805000,0.000000,0.000000,0.000000
11000,0.790500,0.850000,0.795000,0.845000,1.000000,0.000000,0.000000
12000,0.785667,0.790000,0.791000,0.800000,0.000000,0.000000,0.000000
13000,0.789000,0.790000,0.794750,0.795000,0.000000,0.000000,0.000000
14000,0.791600,0.815000,0.795600,0.815000,0.000000,0.000000,0.000000
15000,0.791833,0.825000,0.795667,0.835000,0.000000,1.000000,1.000000
16000,0.792000,0.800000,0.796000,0.805000,0.000000,0.000000,0.000000
17000,0.792875,0.795000,0.796250,0.790000,1.000000,0.000000,0.000000
18000,0.791222,0.810000,0.793889,0.820000,0.000000,0.000000,0.000000
19000,0.792700,0.845000,0.795200,0.845000,0.000000,0.000000,0.000000
20000,0.792182,0.750000,0.794273,0.755000,0.000000,0.000000,0.000000
21000,0.794000,0.875000,0.796000,0.875000,0.000000,0.000000,0.000000
22000,0.795538,0.795000,0.797231,0.800000,0.000000,0.000000,0.000000
23000,0.795429,0.815000,0.797143,0.815000,0.000000,0.000000,0.000000
24000,0.796067,0.820000,0.798067,0.830000,0.000000,0.000000,0.000000
25000,0.796375,0.780000,0.798312,0.790000,0.000000,0.000000,0.000000
26000,0.797529,0.840000,0.799353,0.845000,1.000000,0.000000,0.000000
27000,0.797222,0.790000,0.799000,0.795000,0.000000,0.000000,0.000000
28000,0.796789,0.795000,0.798474,0.780000,0.000000,0.000000,0.000000
29000,0.796450,0.765000,0.798250,0.775000,1.000000,0.000000,0.000000
30000,0.797667,0.845000,0.799476,0.860000,1.000000,0.000000,0.000000
31000,0.798909,0.875000,0.800636,0.865000,0.000000,0.000000,0.000000
32000,0.800217,0.900000,0.802217,0.905000,0.000000,0.000000,0.000000
33000,0.805833,0.935000,0.807667,0.935000,0.000000,0.000000,0.000000
34000,0.810880,0.945000,0.812440,0.935000,0.000000,0.000000,0.000000
35000,0.815192,0.960000,0.816692,0.965000,0.000000,0.000000,0.000000
36000,0.820481,0.950000,0.822000,0.955000,0.000000,0.000000,0.000000
37000,0.823929,0.860000,0.825429,0.865000,0.000000,0.000000,0.000000
38000,0.824207,0.855000,0.825655,0.855000,0.000000,0.000000,0.000000
39000,0.825100,0.860000,0.826333,0.855000,0.000000,0.000000,0.000000
40000,0.826710,0.910000,0.827903,0.910000,0.000000,0.000000,0.000000
41000,0.827875,0.845000,0.829094,0.850000,0.000000,0.000000,0.000000
42000,0.829121,0.810000,0.830273,0.815000,0.000000,0.000000,0.000000
43000,0.829559,0.840000,0.830794,0.840000,0.000000,0.000000,0.000000
44000,0.830257,0.850000,0.831514,0.845000,1.000000,0.000000,0.000000
45000,0.831472,0.870000,0.832750,0.870000,0.000000,0.000000,0.000000
46000,0.832568,0.875000,0.833757,0.880000,0.000000,0.000000,0.000000
47000,0.833395,0.845000,0.834447,0.835000,0.000000,0.000000,0.000000
48000,0.833615,0.850000,0.834846,0.860000,0.000000,0.000000,0.000000
49000,0.833675,0.875000,0.835075,0.870000,0.000000,0.000000,0.000000
50000,0.833854,0.865000,0.835341,0.865000,0.000000,0.000000,0.000000
51000,0.834619,0.865000,0.836143,0.860000,0.000000,0.000000,0.000000
52000,0.834256,0.840000,0.835953,0.845000,1.000000,0.000000,0.000000
53000,0.834295,0.810000,0.835773,0.805000,0.000000,0.000000,0.000000
54000,0.834200,0.885000,0.835733,0.875000,0.000000,0.000000,0.000000
55000,0.834239,0.790000,0.835783,0.795000,0.000000,0.000000,0.000000
56000,0.834319,0.880000,0.835936,0.890000,0.000000,0.000000,0.000000
57000,0.834063,0.805000,0.835812,0.820000,1.000000,0.000000,0.000000
58000,0.834143,0.855000,0.835837,0.860000,0.000000,0.000000,0.000000
59000,0.833920,0.830000,0.835740,0.835000,0.000000,0.000000,0.000000
60000,0.833804,0.815000,0.835608,0.825000,0.000000,0.000000,0.000000
61000,0.833615,0.830000,0.835288,0.820000,0.000000,0.000000,0.000000
62000,0.833472,0.820000,0.835094,0.805000,0.000000,0.000000,0.000000
63000,0.833222,0.820000,0.834648,0.795000,0.000000,0.000000,0.000000
64000,0.833327,0.845000,0.834618,0.855000,0.000000,0.000000,0.000000
65000,0.833768,0.860000,0.834768,0.865000,0.000000,0.000000,0.000000
66000,0.834333,0.810000,0.835386,0.820000,0.000000,0.000000,0.000000
67000,0.834103,0.820000,0.835069,0.840000,0.000000,0.000000,0.000000
68000,0.834271,0.850000,0.835220,0.845000,0.000000,0.000000,0.000000
69000,0.834150,0.845000,0.834917,0.825000,0.000000,0.000000,0.000000
70000,0.834230,0.890000,0.834984,0.885000,0.000000,0.000000,0.000000
71000,0.834371,0.825000,0.835016,0.815000,0.000000,0.000000,0.000000
72000,0.834524,0.845000,0.835238,0.850000,0.000000,0.000000,0.000000
73000,0.834734,0.825000,0.835469,0.835000,0.000000,0.000000,0.000000
74000,0.835077,0.865000,0.835815,0.870000,0.000000,0.000000,0.000000
75000,0.835288,0.855000,0.835939,0.850000,0.000000,0.000000,0.000000
76000,0.835597,0.875000,0.836224,0.880000,1.000000,0.000000,0.000000
77000,0.835897,0.860000,0.836529,0.860000,0.000000,0.000000,0.000000
78000,0.835536,0.800000,0.836101,0.805000,0.000000,0.000000,0.000000
79000,0.836171,0.885000,0.836686,0.880000,0.000000,0.000000,0.000000
80000,0.835986,0.820000,0.836535,0.830000,0.000000,1.000000,0.000000
81000,0.836014,0.820000,0.836431,0.815000,1.000000,1.000000,0.000000
82000,0.836137,0.815000,0.836575,0.805000,0.000000,0.000000,0.000000
83000,0.835973,0.820000,0.836338,0.810000,1.000000,0.000000,0.000000
84000,0.835427,0.770000,0.835760,0.775000,0.000000,0.000000,0.000000
85000,0.835382,0.805000,0.835671,0.805000,0.000000,0.000000,0.000000
86000,0.835286,0.790000,0.835623,0.800000,1.000000,1.000000,1.000000
87000,0.834949,0.785000,0.835167,0.790000,0.000000,0.000000,0.000000
88000,0.834608,0.820000,0.834785,0.815000,1.000000,0.000000,0.000000
89000,0.834475,0.850000,0.834662,0.850000,0.000000,0.000000,0.000000
90000,0.834222,0.845000,0.834309,0.850000,0.000000,0.000000,0.000000
91000,0.834183,0.830000,0.834268,0.830000,0.000000,0.000000,0.000000
92000,0.833783,0.820000,0.833831,0.820000,0.000000,0.000000,0.000000
93000,0.833393,0.785000,0.833429,0.780000,0.000000,0.000000,0.000000
94000,0.833129,0.790000,0.833188,0.800000,0.000000,0.000000,0.000000
95000,0.833105,0.820000,0.833116,0.815000,0.000000,0.000000,0.000000
96000,0.832816,0.775000,0.832793,0.780000,0.000000,0.000000,0.000000
97000,0.832466,0.790000,0.832364,0.790000,0.000000,0.000000,0.000000
98000,0.832270,0.800000,0.832180,0.800000,1.000000,0.000000,0.000000
99000,0.832078,0.815000,0.831933,0.820000,0.000000,0.000000,0.000000
100000,0.831890,0.820000,0.831725,0.815000,0.000000,0.000000,0.000000
